ID,DAM,LAKE,STREAM,CAPACITY (AF),Lat,Long
STD,Sutherland,Sutherland Lake,Santa Ysabel Creek,29508,33.118,-116.787
SW3,Sweetwater,Sweetwater Reservoir,Sweetwater Creek,27700,32.692,-117.007
TRM,Terminus,Lake Kaweah,Kaweah River,185600,36.415,-119.002
TAB,Thermalito Afterbay,Thermalito Afterbay,Feather River,57041,39.45,-121.633
THD,Thermalito Diversion Pool,Thermalito Diversion Pool,Feather River,13328,39.528,-121.543
TFR,Thermalito Forebay,Thermalito Forebay,Feather River,11768,39.519,-121.629
TMT,Thermalito System Total,Thermalito System,Feather River,81264,39.458,-121.638
TNM,Tinemaha,Tinemaha Reservoir,Owens River,16405,37.058,-118.225
CLE,Trinity,Trinity Lake,Trinity River,2447650,40.801,-122.762,https://en.wikipedia.org/wiki/Trinity_Lake
TUL,Tulloch,Tulloch Reservoir,Stanislaus River,67000,37.875,-120.603
TLC,Turlock,Turlock Lake,Tuolumne River,45600,37.6,-120.583
TWT,Twitchell,Twitchell Reservoir,Cuyama River,240000,34.983,-120.317
UNV,Union Valley,Union Valley Reservoir,S Fork American River,266369,38.864,-120.438
KLM,Upper Klamath,Upper Klamath,Klamath River,515615,42.25,-121.815
SJT,Upper San Joaquin R Total,null,San Joaquin River,617300,99.999,-999.999
USL,Upper San Leandro,Upper San Leandro Reservoir,Alameda Creek,37960,37.7644,-122.1016
UTI,Utica,Utica Reservoir,NF Stanislaus River,2400,38.440277,-120.00222
UVA,Uvas,Uvas Reservoir,Uvas Creek,9688,37.067,-121.69
VIL,Vail,Vail Reservoir,Temecula Creek,51000,33.496,-116.976
VAR,Van Arsdale,Van Arsdale Reservoir,Eel River,700,39.3839,-123.1025
TAE,Vermilion Valley,Thomas A. Edison,S Fork San Joaquin River,125000,37.37,-118.987
EDS,Vermillion Valley,Thomas A. Edison Lake,S Fork San Joaquin River,125000,34.1585,-117.5138
VLP,Villa Park,Villa Park Reservoir,Santiago Creek,15600,33.815,-117.832
WRS,Warm Springs,Lake Sonoma,Russian River,381000,38.723,-123.01
WHR,Whale Rock,Whale Rock Lake,Old Creek,38967,35.45,-120.883
WHI,Whiskeytown,Whiskeytown Lake,Clear Creek,241100,40.598,-122.537
WSN,Wishon,Lake Wishon,Helms Creek,128300,37.005,-118.969
